DISCRETE MATHEMATICS,FUND. OF DATA STRUCTURES,OBJECT ORIENTED PROGRAMMING,COMPUTER GRAPHICS,DIGITAL ELEC. & LOGIC DESIGN,DATA STUCTURES LABORATORY,OOP & COMP. GRAPHICS LAB.,DIGITAL ELEC. LABORATORY,BUSINESS COMMUNICATION SKILLS,HUMANITY & SOCIAL SCIENCE,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III,DATA STRUCTURES & ALGO.,SOFTWARE ENGINEERING,MICROPROCESSOR,PRINCIPLES OF PROG. LANG.,DATA STRUCTURES & ALGO. LAB.,MICROPROCESSOR LABORATORY,PROJECT BASED LEARNING II,CODE OF CONDUCT,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
30,27,30,30,30,16,16,10,9,9,0,21,9,21,21,21,21,16,9,16,9,0,207.0,9.409,164.0,7.455,44,8.43
30,30,27,30,30,16,18,9,9,9,0,27,8,21,12,21,15,20,9,20,9,0,208.0,9.455,162.0,7.364,44,8.41
30,30,30,30,30,18,18,9,9,9,0,30,9,18,24,24,24,18,9,18,10,0,213.0,9.682,184.0,8.364,44,9.02
30,27,30,27,30,18,16,9,9,9,0,21,9,21,21,27,27,14,8,20,9,0,205.0,9.318,177.0,8.045,44,8.68
30,30,30,27,30,18,18,10,9,9,0,27,8,21,21,21,21,14,9,18,10,0,211.0,9.591,170.0,7.727,44,8.66
30,27,30,27,30,18,16,9,10,9,0,12,7,12,21,12,21,18,9,18,9,0,206.0,9.364,139.0,6.318,44,7.84
30,27,27,30,30,18,18,10,10,10,0,27,9,18,21,21,15,16,8,20,9,0,210.0,9.545,164.0,7.455,44,8.50
30,27,30,30,30,16,18,10,9,9,0,27,9,18,18,24,21,16,9,20,10,0,209.0,9.5,172.0,7.818,44,8.66
30,30,30,30,30,18,18,9,10,9,0,27,8,24,18,21,24,18,9,18,10,0,214.0,9.727,177.0,8.045,44,8.89
30,30,27,30,30,18,18,9,10,10,0,30,10,24,24,27,24,20,10,20,10,0,212.0,9.636,199.0,9.045,44,9.34
30,30,27,24,30,14,18,10,9,9,0,21,7,12,15,18,12,0,0,18,7,0,201.0,9.136,110.0,5.0,41,0
30,30,30,30,30,18,20,10,10,9,0,30,9,24,27,30,21,18,10,20,9,0,217.0,9.864,198.0,9.0,44,9.43
30,30,24,27,30,16,20,9,9,9,0,24,8,18,18,24,21,20,9,20,10,0,204.0,9.273,172.0,7.818,44,8.55
27,24,24,30,30,18,18,9,10,9,0,24,8,12,12,21,18,14,8,18,9,0,199.0,9.045,144.0,6.545,44,7.80
30,30,30,30,30,18,16,10,9,5,0,24,8,18,0,21,12,14,8,18,9,0,208.0,9.455,132.0,6.0,41,0
30,30,30,30,30,16,18,9,9,9,0,24,9,18,18,18,24,14,8,18,9,0,211.0,9.591,160.0,7.273,44,8.43
30,30,30,30,30,16,16,9,7,6,0,24,6,21,18,21,18,12,8,18,9,0,204.0,9.273,155.0,7.045,44,8.16
30,30,30,30,30,18,20,10,9,7,0,30,9,12,24,21,21,18,9,18,9,0,214.0,9.727,171.0,7.773,44,8.75
30,30,27,27,30,18,16,9,9,10,0,27,9,18,21,18,21,16,8,18,9,0,206.0,9.364,165.0,7.5,44,8.43
30,30,30,30,30,18,18,10,10,10,0,30,9,21,21,27,21,20,10,18,8,0,216.0,9.818,185.0,8.409,44,9.11
