,DISCRETE MATHEMATICS,FUND. OF DATA STRUCTURES,OBJECT ORIENTED PROGRAMMING,COMPUTER GRAPHICS,DIGITAL ELEC. & LOGIC DESIGN,DATA STUCTURES LABORATORY,OOP & COMP. GRAPHICS LAB.,DIGITAL ELEC. LABORATORY,BUSINESS COMMUNICATION SKILLS,HUMANITY & SOCIAL SCIENCE,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III.1,DATA STRUCTURES & ALGO.,SOFTWARE ENGINEERING,MICROPROCESSOR,PRINCIPLES OF PROG. LANG.,DATA STRUCTURES & ALGO. LAB.,MICROPROCESSOR LABORATORY,PROJECT BASED LEARNING II,CODE OF CONDUCT,AUDIT COURSE.1,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA,SEM_3_INTERNAL,SEM_4_INTERNAL,SEM_3_EXTERNAL,SEM_4_EXTERNAL
103,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,0,0.9,1.0,0.8,0.9,0.6,0.8,0.7,0.9,0.9,1.0,0,217.0,0.9864,181.0,0.8227,1.0,0.905,0.9571428571428572,0.8714285714285714,1.0,0.8
104,1.0,1.0,1.0,0.9,1.0,1.0,0.8,1.0,1.0,0.8,0,1.0,0.8,0.8,0.7,0.8,0.7,0.8,0.8,1.0,0.9,0,211.0,0.9591,181.0,0.8227,1.0,0.891,0.9142857142857143,0.8714285714285714,0.98,0.8
105,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.9,0.9,1.0,0,1.0,0.8,0.7,0.9,0.8,0.7,0.7,0.8,1.0,0.8,0,213.0,0.9682000000000001,181.0,0.8227,1.0,0.8949999999999999,0.9428571428571428,0.8285714285714286,0.98,0.82
106,1.0,1.0,0.9,1.0,1.0,0.9,0.7,0.9,1.0,0.9,0,0.7,0.7,0.7,0.7,0.7,0.5,0.8,1.0,0.9,0.8,0,207.0,0.9409000000000001,158.0,0.7182000000000001,1.0,0.8300000000000001,0.8571428571428571,0.8428571428571429,0.98,0.66
107,1.0,0.9,1.0,0.9,1.0,0.8,0.9,1.0,0.9,0.8,0,0.7,0.7,0.6,0.7,0.4,0.6,0.7,0.8,0.9,0.9,0,205.0,0.9318,146.0,0.6636,1.0,0.798,0.8714285714285714,0.8,0.96,0.6
108,1.0,1.0,0.9,1.0,1.0,0.8,0.8,0.9,0.9,0.9,0,0.8,0.7,0.6,0.6,0.7,0.7,1.0,0.8,0.9,0.9,0,206.0,0.9364000000000001,164.0,0.7455,1.0,0.841,0.8428571428571429,0.8857142857142857,0.98,0.68
109,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0,0.9,0.8,0.9,0.9,0.8,0.8,0.9,0.9,0.9,1.0,0,209.0,0.95,192.0,0.8727,1.0,0.9109999999999999,0.9285714285714286,0.9,0.96,0.86
110,1.0,1.0,1.0,0.9,1.0,0.9,0.9,1.0,0.9,0.8,0,0.7,0.6,0.4,0.5,0.7,0.6,0.8,0.6,0.9,0.7,0,210.0,0.9545,140.0,0.6364,1.0,0.795,0.9,0.7571428571428571,0.98,0.58
111,1.0,0.9,1.0,0.8,1.0,0.9,0.8,0.9,0.8,1.0,0,0.7,0.7,0.6,0.4,0.6,0.6,0.7,0.8,0.9,0.6,0,202.0,0.9182,140.0,0.6364,1.0,0.7769999999999999,0.8714285714285714,0.7571428571428571,0.94,0.58
112,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0,1.0,0.9,0.7,0.9,0.8,0.8,0.9,1.0,0.9,0.9,0,215.0,0.9773,190.0,0.8635999999999999,1.0,0.9199999999999999,0.9285714285714286,0.9142857142857143,1.0,0.84
113,0.8,0.8,1.0,0.9,1.0,0.8,0.8,0.9,1.0,0.9,0,0.8,0.8,0.5,0.5,0.5,0.6,0.7,0.8,1.0,1.0,0,195.0,0.8864000000000001,147.0,0.6682,1.0,0.7769999999999999,0.8571428571428571,0.8571428571428571,0.9,0.58
